driver_id,date,total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
140158730,2016-08-11,0,0.0,0,0,0,0.0,0,0
140285802,2016-08-11,0,0.0,0,0,0,0.0,0,0
140115920,2016-08-11,0,0.0,0,0,0,0.0,0,0
140306392,2016-08-11,0,0.0,0,0,0,0.0,0,0
140578587,2016-08-11,0,0.0,0,0,0,0.0,0,0
140472096,2016-08-11,0,0.0,0,0,0,0.0,0,1
140216279,2016-08-11,0,0.0,1738,0,0,0.0,0,0
140186410,2016-08-11,0,0.0,0,0,0,0.0,0,0
140131568,2016-08-11,0,0.0,41,0,0,0.0,0,0
140379624,2016-08-11,0,0.0,0,0,0,0.0,0,0
140183609,2016-08-11,0,0.0,0,0,0,0.0,0,0
140436129,2016-08-11,0,0.0,384,0,0,0.0,0,0
140626859,2016-08-11,0,0.0,232,0,0,0.0,0,0
140091310,2016-08-11,0,0.0,0,0,0,0.0,0,0
140650651,2016-08-11,0,0.0,0,0,0,0.0,0,0
140221400,2016-08-11,0,0.0,113,0,0,0.0,0,0
140139916,2016-08-11,0,0.0,24388,0,0,0.0,0,0
140495602,2016-08-11,0,0.0,0,0,0,0.0,0,0
140567932,2016-08-11,0,0.0,0,0,0,0.0,0,0
140194534,2016-08-11,0,0.0,0,0,0,0.0,0,1
140338791,2016-08-11,0,0.0,24,0,0,0.0,0,0
140131470,2016-08-11,0,0.0,0,0,0,0.0,0,1
140380885,2016-08-11,0,0.0,21581,0,0,0.0,0,0
140496469,2016-08-11,0,0.0,0,0,0,0.0,0,0
140092461,2016-08-11,0,0.0,826,0,0,0.0,0,0
140604801,2016-08-11,0,0.0,0,0,0,0.0,0,0
140387748,2016-08-11,0,0.0,0,0,0,0.0,0,0
140187801,2016-08-11,0,0.0,0,0,0,0.0,0,1
140160541,2016-08-11,0,0.0,7,0,0,0.0,0,0
140370896,2016-08-11,0,0.0,0,0,0,0.0,0,0
140184967,2016-08-11,0,0.0,0,0,0,0.0,0,0
140211551,2016-08-11,0,0.0,343,0,0,0.0,0,0
140593621,2016-08-11,0,0.0,0,0,0,0.0,0,0
140209728,2016-08-11,0,0.0,0,0,0,0.0,0,0
140133873,2016-08-11,0,0.0,0,0,0,0.0,0,1
140158914,2016-08-11,0,0.0,6,0,0,0.0,0,1
140144039,2016-08-11,0,0.0,5851,0,0,0.0,0,0
140146138,2016-08-11,0,0.0,0,0,0,0.0,0,0
140173838,2016-08-11,0,0.0,0,0,0,0.0,0,0
140450879,2016-08-11,0,0.0,0,0,0,0.0,0,1
140268482,2016-08-11,0,0.0,278,0,0,0.0,0,0
140501654,2016-08-11,0,0.0,0,0,0,0.0,0,1
140196340,2016-08-11,0,0.0,0,0,0,0.0,0,1
140435452,2016-08-11,0,0.0,10,0,0,0.0,0,0
140596795,2016-08-11,0,0.0,575,0,0,0.0,0,0
140472775,2016-08-11,0,0.0,0,0,0,0.0,0,0
140680826,2016-08-11,0,0.0,1366,0,0,0.0,0,1
140177939,2016-08-11,0,0.0,0,0,0,0.0,0,0
140539791,2016-08-11,0,0.0,0,0,0,0.0,0,0
140472741,2016-08-11,0,0.0,0,0,0,0.0,0,0
140595062,2016-08-11,0,0.0,0,0,0,0.0,0,0
140103623,2016-08-11,0,0.0,2993,0,0,0.0,0,0
140400480,2016-08-11,0,0.0,0,0,0,0.0,0,0
140197531,2016-08-11,0,0.0,0,0,0,0.0,0,1
140116816,2016-08-11,0,0.0,0,0,0,0.0,0,0
140465696,2016-08-11,0,0.0,0,0,0,0.0,0,0
140141848,2016-08-11,0,0.0,0,0,0,0.0,0,0
140318694,2016-08-11,0,0.0,0,0,0,0.0,0,1
140569981,2016-08-11,0,0.0,0,0,0,0.0,0,0
140550569,2016-08-11,0,0.0,0,0,0,0.0,0,0
140153800,2016-08-11,0,0.0,0,0,0,0.0,0,0
140625379,2016-08-11,0,0.0,0,0,0,0.0,0,0
140599785,2016-08-11,0,0.0,0,0,0,0.0,0,0
140678082,2016-08-11,0,0.0,3132,0,0,0.0,0,0
140538582,2016-08-11,0,0.0,0,0,0,0.0,0,0
140139752,2016-08-11,0,0.0,3537,0,0,0.0,0,0
140564979,2016-08-11,0,0.0,1968,0,0,0.0,0,0
140145375,2016-08-11,0,0.0,0,0,0,0.0,0,0
140679979,2016-08-11,0,0.0,0,0,0,0.0,0,0
140148312,2016-08-11,0,0.0,0,0,0,0.0,0,1
140219964,2016-08-11,0,0.0,0,0,0,0.0,0,0
140441424,2016-08-11,0,0.0,0,0,0,0.0,0,0
140157697,2016-08-11,0,0.0,0,0,0,0.0,0,0
140422267,2016-08-11,0,0.0,0,0,0,0.0,0,1
140449131,2016-08-11,0,0.0,0,0,0,0.0,0,0
140575091,2016-08-11,0,0.0,0,0,0,0.0,0,0
140270289,2016-08-11,0,0.0,0,0,0,0.0,0,0
140130559,2016-08-11,0,0.0,80,0,0,0.0,0,0
140427620,2016-08-11,0,0.0,0,0,0,0.0,0,1
140560277,2016-08-11,0,0.0,0,0,0,0.0,0,1
140339011,2016-08-11,0,0.0,0,0,0,0.0,0,0
140499883,2016-08-11,0,0.0,0,0,0,0.0,0,0
140404353,2016-08-11,0,0.0,83,0,0,0.0,0,0
140627211,2016-08-11,0,0.0,2260,0,0,0.0,0,0
140176513,2016-08-11,0,0.0,15,0,0,0.0,0,0
